num_points,max_abs_rel_error
3,200.0
4,200.0
5,200.0
6,200.0
7,200.0
8,200.0
9,200.0
10,200.0
11,200.0
12,200.0
13,200.0
14,200.0
15,200.0
16,200.0
17,206.9230769230769
18,206.9230769230769
19,200.0
20,206.9230769230769
21,200.0
