num_points,max_abs_rel_error
3,278.725
4,300.0
5,291.1333333333333
6,120.1111111111111
7,195.79692307692306
8,132.2111111111111
9,106.7123076923077
10,139.692
11,150.54
12,312.22222222222223
13,132.32083333333333
14,100.17166666666665
15,197.87538461538463
16,312.22222222222223
17,254.7333333333333
18,98.66749999999999
19,106.99307692307694
20,312.22222222222223
21,161.3111111111111
