num_points,max_abs_rel_error
3,138.33499999999998
4,900.0
5,900.0
6,900.0
7,900.0
8,900.0
9,900.0
10,900.0
11,900.0
12,900.0
13,900.0
14,900.0
15,900.0
16,900.0
17,900.0
18,900.0
19,900.0
20,900.0
21,900.0
